,id,listing_url,latitude,longitude,neighbourhood_group_cleansed
323,831911,https://www.airbnb.com/rooms/831911,40.7764,-73.98371,Manhattan
324,1146653,https://www.airbnb.com/rooms/1146653,40.79296,-73.96499,Manhattan
326,987616,https://www.airbnb.com/rooms/987616,40.68759,-73.99754,Brooklyn
327,1027808,https://www.airbnb.com/rooms/1027808,40.72154,-73.98174,Manhattan
328,2440173,https://www.airbnb.com/rooms/2440173,40.76453,-73.99515,Manhattan
329,1126944,https://www.airbnb.com/rooms/1126944,40.63866,-73.9715,Brooklyn
331,843491,https://www.airbnb.com/rooms/843491,40.75869,-73.80992,Queens
332,1354250,https://www.airbnb.com/rooms/1354250,40.68682,-73.97712,Brooklyn
334,1334793,https://www.airbnb.com/rooms/1334793,40.68322,-73.99684,Brooklyn
335,1727923,https://www.airbnb.com/rooms/1727923,40.71512,-73.95499,Brooklyn
339,1913540,https://www.airbnb.com/rooms/1913540,40.68678,-73.97325,Brooklyn
340,1788989,https://www.airbnb.com/rooms/1788989,40.72368,-73.99422,Manhattan
341,1001719631412490320,https://www.airbnb.com/rooms/1001719631412490320,40.845199,-73.9414011,Manhattan
342,3808358,https://www.airbnb.com/rooms/3808358,40.76315,-73.92709,Queens
345,4685985,https://www.airbnb.com/rooms/4685985,40.70707,-73.9532,Brooklyn
346,20801864,https://www.airbnb.com/rooms/20801864,40.8159,-73.86486,Bronx
347,3561828,https://www.airbnb.com/rooms/3561828,40.6853,-73.9619,Brooklyn
349,3698367,https://www.airbnb.com/rooms/3698367,40.67929,-73.97208,Brooklyn
350,4144630,https://www.airbnb.com/rooms/4144630,40.71794,-73.95682,Brooklyn
351,4006264,https://www.airbnb.com/rooms/4006264,40.80455,-73.95651,Manhattan
352,4041351,https://www.airbnb.com/rooms/4041351,40.67152,-73.92687,Brooklyn
353,4129909,https://www.airbnb.com/rooms/4129909,40.69548,-73.93517,Brooklyn
354,3840324,https://www.airbnb.com/rooms/3840324,40.70824,-73.94681,Brooklyn
355,3841048,https://www.airbnb.com/rooms/3841048,40.72014,-73.98601,Manhattan
360,4216435,https://www.airbnb.com/rooms/4216435,40.8838,-73.89513,Bronx
362,4585748,https://www.airbnb.com/rooms/4585748,40.71534,-73.95572,Brooklyn
364,4482158,https://www.airbnb.com/rooms/4482158,40.66914,-73.98472,Brooklyn
366,2904571,https://www.airbnb.com/rooms/2904571,40.67757,-73.99666,Brooklyn
369,2713887,https://www.airbnb.com/rooms/2713887,40.7748,-73.9548,Manhattan
370,48867046,https://www.airbnb.com/rooms/48867046,40.7338,-73.98532,Manhattan
372,48913390,https://www.airbnb.com/rooms/48913390,40.7615,-73.92731,Queens
373,48851559,https://www.airbnb.com/rooms/48851559,40.74726,-73.94574,Queens
374,3060745,https://www.airbnb.com/rooms/3060745,40.79375,-73.94569,Manhattan
377,1005738027556061705,https://www.airbnb.com/rooms/1005738027556061705,40.80051,-73.94196,Manhattan
378,3278530,https://www.airbnb.com/rooms/3278530,40.70893,-73.94886,Brooklyn
